rank,title,ratings,rating_num,meta
103,东方快车谋杀案,9.0,34894,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元
104,这些都是你给我的爱,8.4,43671,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元
105,挪威的森林,8.4,43841,[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元
106,这些人，那些事,8.8,42298,吴念真 / 译林出版社 / 2011-9 / 28.00元
107,八月未央,7.5,47799,安妮宝贝 / 作家出版社 / 2001-1 / 16.00元
108,当我谈跑步时我谈些什么,8.1,44079,[日] 村上春树 / 施小炜 / 南海出版公司 / 2009-1 / 25.00
109,明朝那些事儿（贰）,8.9,40830,当年明月 / 中国友谊出版公司 / 2007-1 / 24.80
110,清醒纪,7.9,44753,安妮宝贝 / 天津人民出版社 / 2004-10 / 22.00元
111,一个陌生女人的来信,8.6,41467,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元
112,蔡康永的说话之道,7.1,47952,蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元
113,偷影子的人,7.8,44343,(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元
114,陪安东尼度过漫长岁月,8.4,41621,安东尼 / 长江文艺出版社 / 2008-3 / 18.00
115,沉默的大多数,9.0,39113,王小波 / 中国青年出版社 / 1997-10 / 27.00元
116,芒果街上的小屋,7.8,43757,[美国] 桑德拉·希斯内罗丝 / 潘帕 / 译林出版社 / 2006-6 / 24.50元
117,白鹿原,8.6,40266,陈忠实 / 人民文学出版社 / 1997年 / 28.00元
118,羊脂球,8.1,42264,（法）莫泊桑 / 柳鸣九 / 北京燕山出版社 / 2007-6 / 13.50元
119,鲁滨逊漂流记,8.0,42581,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元
120,灌篮高手31,9.5,26727,[日] 井上雄彦 / 邹宁 / 长春出版社 / 2005-1 / 7.50元
121,撒哈拉的故事,9.2,37537,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元
122,巴黎圣母院,8.3,40637,[法]雨果 / 陈敬容 / 人民文学出版社 / 1982-6 / 22.50元
123,麦田里的守望者,8.0,40976,[美国] J. D. 塞林格 / 孙仲旭 / 译林出版社 / 2007-3 / 28.00元
124,肖申克的救赎,9.1,37067,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元
125,无声告白,8.2,39932,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元
126,嫌疑人X的献身,9.0,36887,（日）东野圭吾 / 刘子倩 / 南海出版公司 / 2009年11月 / 19.80元
127,山楂树之恋,7.8,40733,艾米 / 江苏文艺出版社 / 2007-9 / 25.00元
128,华胥引（全二册）,8.5,38289,唐七公子 / 现代出版社 / 2011-1 / 39.80元
129,地下铁,8.3,39059,幾米 / 辽宁教育出版社 / 2002-2 / 32.00元
130,且听风吟,7.7,40900,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-8 / 11.80元
131,钢铁是怎样炼成的,7.6,41204,[苏] 尼·奥斯特洛夫斯基 / 曹缦西 / 译林出版社 / 1996-10 / 20.00元
132,人生若只如初见,7.3,42141,安意如 / 天津教育出版社 / 2006-8 / 23.80元
133,红玫瑰与白玫瑰,8.4,38133,张爱玲 / 花城出版社 / 1996-06 / 12.80元
134,人间失格,8.3,38134,太宰治 / 许时嘉 / 吉林出版集团有限责任公司 / 2009年9月 / 16.00元
135,鬼吹灯之精绝古城,8.1,38439,天下霸唱 / 安徽文艺出版社 / 2006 / 25.0
136,安徒生童话故事集,9.1,35025,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00
137,呐喊,8.8,35874,鲁迅 / 人民文学出版社 / 1973年3月 / 0.36元
138,小团圆,7.6,39829,张爱玲 / 北京十月文艺出版社 / 2009-4 / 28.00
139,泡沫之夏,7.0,41782,明晓溪 / 新世界出版社 / 2006-3 / 20.00元
140,会有天使替我爱你,6.8,42783,明晓溪 / 新世界出版社 / 2005-5 / 20.00元
141,年华是无效信,7.6,39005,落落 / 春风文艺出版社 / 2005-2 / 20.00元
142,幻夜,7.6,39091,〔日〕东野圭吾 / 李炜 / 南海出版公司 / 2009年9月 / 28.00元
143,1984,9.3,33541,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00元
144,在路上,7.8,37966,[美] 杰克·凯鲁亚克 / 王永年 / 上海译文出版社 / 2006-10 / 28.00元
145,射雕英雄传（全四册）,8.9,32089,金庸 / 生活·读书·新知三联书店 / 1999-04 / 47.00元
146,明朝那些事儿（1-9）,9.2,33335,当年明月 / 中国海关出版社 / 2009-4 / 358.20元
147,月亮忘記了,8.5,35085,幾米 / 格林 / 2000-2-1 / NT$ 299
148,明朝那些事儿（叁）,8.9,33971,当年明月 / 中国友谊出版公司 / 2007-4 / 24.80
149,哭泣的骆驼,8.9,29637,三毛 / 哈尔滨出版社 / 2003-6 / 15.80元
150,原来你还在这里,7.7,37490,辛夷坞 / 朝华出版社 / 2007-10 / 25.00元
151,半生缘,8.6,34580,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元
152,此间的少年,8.3,34999,江南 / 华文出版社 / 2004-1 / 25.00元
153,货币战争,7.3,38842,宋鸿兵 编著 / 中信出版社 / 2007-6 / 38.00元
154,佳期如梦,8.0,35681,匪我思存 / 新世界出版社 / 2007-2 / 20.00元
155,一個人住第5年,8.4,34269,高木直子 / 洪俞君 / 大田 / 2004-12-1 / NT$220
156,了不起的盖茨比,8.3,34581,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元
157,无人生还,8.9,32887,
