rank,title,ratings,rating_num,meta
62,剪刀手爱德华,8.7,467861,导演: Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona .../1990 / 美国 / 剧情 奇幻 爱情
63,小鞋子,9.2,130621,导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕.../1997 / 伊朗 / 剧情 家庭 儿童
64,音乐之声,8.9,224045,导演: Robert Wise   主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普.../1965 / 美国 / 剧情 爱情 歌舞 家庭 传记
65,低俗小说,8.7,320234,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra.../1994 / 美国 / 剧情 喜剧 犯罪
66,入殓师,8.8,309713,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / .../2008 / 日本 / 剧情
67,本杰明·巴顿奇事,8.7,378900,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / .../2008 / 美国 / 剧情 爱情 奇幻
68,沉默的羔羊,8.7,339012,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安.../1991 / 美国 / 剧情 犯罪 惊悚
69,黑客帝国,8.8,268158,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主.../1999 / 美国 澳大利亚 / 动作 科幻
70,蝴蝶效应,8.7,366617,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主.../2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
71,拯救大兵瑞恩,8.8,225376,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks.../1998 / 美国 / 剧情 历史 战争
72,素媛,9.1,164269,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm .../2013 / 韩国 / 剧情 家庭
73,西西里的美丽传说,8.7,329339,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica .../2000 / 意大利 美国 / 剧情 战争 情色
74,玛丽和马克思,8.9,226475,导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍.../2009 / 澳大利亚 / 剧情 爱情 动画
75,心灵捕手,8.7,258199,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·.../1997 / 美国 / 剧情
76,幽灵公主,8.8,224481,导演: 宫崎骏   主演: 松田洋治 / 石田百合子 / 田中裕子/1997 / 日本 / 动画 冒险 奇幻
77,第六感,8.8,223806,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi.../1999 / 美国 / 剧情 悬疑 恐怖
78,春光乍泄,8.8,232026,导演: 王家卫   主演: 张国荣 / 梁朝伟 / 张震/1997 / 香港 日本 韩国 / 剧情 爱情 同性
79,阳光灿烂的日子,8.7,258478,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao/1994 / 中国大陆 香港 / 剧情
80,让子弹飞,8.7,597975,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F.../2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部
81,大闹天宫,9.2,92279,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /.../1961 / 1964 / 1978 / 2004 / 中国大陆 / 动画 奇幻
82,大鱼,8.7,241001,导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿.../2003 / 美国 / 剧情 家庭 奇幻 冒险
83,疯狂动物城,9.2,465640,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·.../2016 / 美国 / 喜剧 动作 动画 冒险
84,射雕英雄传之东成西就,8.7,263018,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri.../1993 / 香港 / 喜剧 古装
85,重庆森林,8.6,311633,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K.../1994 / 香港 / 剧情 爱情
86,阳光姐妹淘,8.8,255890,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy.../2011 / 韩国 / 剧情 喜剧
87,上帝之城,8.9,152216,导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea.../2002 / 巴西 法国 / 犯罪 剧情
88,禁闭岛,8.6,340381,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / .../2010 / 美国 / 剧情 悬疑 惊悚
89,甜蜜蜜,8.7,223017,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / .../1996 / 香港 / 剧情 爱情
90,致命ID,8.6,301650,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet/2003 / 美国 / 剧情 悬疑 惊悚
91,告白,8.7,324103,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 .../2010 / 日本 / 剧情 惊悚
92,一一,8.9,147007,导演: 杨德昌   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elaine Jin/2000 / 台湾 日本 / 剧情 爱情 家庭
93,加勒比海盗,8.6,324991,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / .../2003 / 美国 / 动作 冒险 奇幻
94,狩猎,9.0,116261,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik.../2012 / 丹麦 瑞典 / 剧情
95,布达佩斯大饭店,8.7,289163,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / .../2014 / 美国 德国 英国 / 剧情 喜剧
96,爱在黎明破晓前,8.7,208017,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke .../1995 / 美国 奥地利 瑞士 / 剧情 爱情
97,断背山,8.6,303154,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake.../2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
98,阿凡达,8.6,505876,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington .../2009 / 美国 英国 / 动作 冒险 奇幻 科幻
99,风之谷,8.8,167489,导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y.../1984 / 日本 / 科幻 动画 奇幻 冒险
100,摩登时代,9.2,81972,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin .../1936 / 美国 / 喜剧 剧情 爱情
101,末代皇帝,8.8,151959,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈.../1987 / 意大利 中国大陆 英国 法国 / 剧情 传记 历史
102,猫鼠游戏,8.7,206868,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L.../2002 / 美国 加拿大 / 传记 犯罪 剧情
103,爱在日落黄昏时,8.7,188917,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke .../2004 / 美国 / 剧情 爱情
104,萤火虫之墓,8.7,194391,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子/1988 / 日本 / 动画 剧情 战争
105,侧耳倾听,8.8,158371,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K.../1995 / 日本 / 剧情 爱情 动画 音乐
106,哈利·波特与魔法石,8.6,234253,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint/2001 / 美国 英国 / 奇幻 冒险
107,驯龙高手,8.7,270242,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:.../2010 / 美国 / 喜剧 动画 奇幻 冒险 家庭
108,超脱,8.7,162419,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 克里.../2011 / 美国 / 剧情
109,穿条纹睡衣的男孩,8.8,130789,导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / .../2008 / 英国 美国 / 剧情 战争
110,海洋,9.0,95852,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:.../2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片
111,幸福终点站,8.6,215806,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks.../2004 / 美国 / 喜剧 剧情 爱情
